AQI,縣市,監測月份
58,臺北市,5-Jan
60,臺北市,5-Jan
56,臺北市,5-Jan
64,臺北市,5-Jan
46,臺北市,5-Jan
42.5,臺北市,5-Jan
53,臺北市,5-Jan
54,新北市,5-Jan
42,新北市,5-Jan
58,新北市,5-Jan
54,新北市,5-Jan
61,新北市,5-Jan
44,新北市,5-Jan
41,新北市,5-Jan
45,新北市,5-Jan
58,新北市,5-Jan
52,新北市,5-Jan
84,新北市,5-Jan
77,臺中市,5-Jan
59,臺中市,5-Jan
49,臺中市,5-Jan
58,臺中市,5-Jan
70,臺中市,5-Jan
86,臺南市,5-Jan
81,臺南市,5-Jan
93,臺南市,5-Jan
88,臺南市,5-Jan
116,高雄市,5-Jan
75,高雄市,5-Jan
96,高雄市,5-Jan
113,高雄市,5-Jan
103,高雄市,5-Jan
104,高雄市,5-Jan
114,高雄市,5-Jan
112,高雄市,5-Jan
121,高雄市,5-Jan
114,高雄市,5-Jan
104,高雄市,5-Jan
99,高雄市,5-Jan
54,基隆市,5-Jan
49,新竹市,5-Jan
91,嘉義市,5-Jan
42,宜蘭縣,5-Jan
31,宜蘭縣,5-Jan
42,桃園市,5-Jan
63,桃園市,5-Jan
58,桃園市,5-Jan
62,桃園市,5-Jan
55,桃園市,5-Jan
57,桃園市,5-Jan
54,新竹縣,5-Jan
44,新竹縣,5-Jan
62,苗栗縣,5-Jan
59,苗栗縣,5-Jan
61,苗栗縣,5-Jan
70,彰化縣,5-Jan
59,彰化縣,5-Jan
67,彰化縣,5-Jan
78,南投縣,5-Jan
68,南投縣,5-Jan
70,南投縣,5-Jan
55,雲林縣,5-Jan
77,雲林縣,5-Jan
81,雲林縣,5-Jan
81,嘉義縣,5-Jan
81,嘉義縣,5-Jan
111,屏東縣,5-Jan
37,屏東縣,5-Jan
96,屏東縣,5-Jan
31,臺東縣,5-Jan
39,花蓮縣,5-Jan
49,澎湖縣,5-Jan
91,金門縣,5-Jan
68,連江縣,5-Jan
46,臺北市,5-Feb
32.4,臺北市,5-Feb
45.5,臺北市,5-Feb
47,臺北市,5-Feb
45,臺北市,5-Feb
50,臺北市,5-Feb
51,臺北市,5-Feb
72,新北市,5-Feb
55,新北市,5-Feb
44,新北市,5-Feb
53,新北市,5-Feb
53,新北市,5-Feb
39,新北市,5-Feb
37.6,新北市,5-Feb
35,新北市,5-Feb
53,新北市,5-Feb
45,新北市,5-Feb
58,新北市,5-Feb
76,臺中市,5-Feb
49,臺中市,5-Feb
57,臺中市,5-Feb
63,臺中市,5-Feb
46,臺中市,5-Feb
86,臺南市,5-Feb
82,臺南市,5-Feb
78,臺南市,5-Feb
88,臺南市,5-Feb
98,高雄市,5-Feb
111,高雄市,5-Feb
99,高雄市,5-Feb
92,高雄市,5-Feb
101,高雄市,5-Feb
92,高雄市,5-Feb
107,高雄市,5-Feb
94,高雄市,5-Feb
67,高雄市,5-Feb
99,高雄市,5-Feb
108,高雄市,5-Feb
98,高雄市,5-Feb
50,基隆市,5-Feb
45,新竹市,5-Feb
88,嘉義市,5-Feb
30,宜蘭縣,5-Feb
27,宜蘭縣,5-Feb
58,桃園市,5-Feb
40,桃園市,5-Feb
43,桃園市,5-Feb
49,桃園市,5-Feb
58,桃園市,5-Feb
48,桃園市,5-Feb
48,新竹縣,5-Feb
49,新竹縣,5-Feb
52,苗栗縣,5-Feb
53,苗栗縣,5-Feb
37,苗栗縣,5-Feb
57,彰化縣,5-Feb
61,彰化縣,5-Feb
46,彰化縣,5-Feb
67,南投縣,5-Feb
70,南投縣,5-Feb
74,南投縣,5-Feb
