Year,Month,City,AQI,Car,Bike,TotalGarbageT,GeneralGarbageT,HugeGarbageT,RecycleGarbageT,KitchenWasteT,WastePerPersonKG,PenaltyConstruction,PenaltyPollution,PenaltyMobilePollution,ExamConstruction,ExamPollution,ExamMobliePollution
94,10M,宜蘭縣,yellow,128214,270729,12006,6578,136,3649,1644,0.839,1,6,18,19,108,5626
94,11M,宜蘭縣,yellow,128561,270993,11815,6476,130,3514,1694,0.853,0,3,26,30,125,1178
94,12M,宜蘭縣,yellow,128944,270758,12004,6664,118,3572,1651,0.839,1,1,6,15,68,3458
94,1M,宜蘭縣,yellow,124653,265595,11816,7129,196,3269,1222,0.825,3,0,0,25,79,156
94,2M,宜蘭縣,green,124874,266050,12622,7899,163,3184,1376,0.976,0,0,8,8,62,267
94,3M,宜蘭縣,yellow,125346,266494,11685,6912,100,3165,1507,0.816,0,2,19,10,65,130
94,4M,宜蘭縣,yellow,125684,266858,11531,6830,169,3122,1410,0.832,0,2,8,14,93,1247
94,5M,宜蘭縣,green,126218,267222,12833,7780,131,3512,1410,0.896,0,4,3,20,78,1328
94,6M,宜蘭縣,green,126748,267946,12711,7763,117,3401,1430,0.918,2,1,9,17,105,3676
94,7M,宜蘭縣,yellow,127379,268670,13211,7889,197,3555,1571,0.923,1,6,12,19,144,2307
94,8M,宜蘭縣,green,127454,269444,12708,7295,234,3611,1568,0.888,0,7,29,17,127,3927
94,9M,宜蘭縣,green,127878,270311,12754,6999,267,3786,1702,0.921,0,8,31,18,135,8098
94,10M,花蓮縣,green,105104,223976,13251,7105,226,3833,2088,0.928,2,1,57,12,127,4529
94,11M,花蓮縣,yellow,105097,223924,12444,6360,263,3750,2070,0.901,1,0,56,36,118,2860
94,12M,花蓮縣,yellow,105451,223292,12867,6687,258,3809,2113,0.901,2,0,1,15,89,5317
94,1M,花蓮縣,yellow,102053,219023,14095,8201,161,3962,1770,0.985,3,6,13,14,72,21
94,2M,花蓮縣,yellow,102238,219532,12999,7302,126,3813,1757,1.006,0,2,7,11,39,114
94,3M,花蓮縣,yellow,102756,219982,12693,7199,182,3608,1703,0.888,0,2,14,18,93,759
94,4M,花蓮縣,yellow,103134,220401,12002,6408,153,3671,1770,0.868,1,0,31,7,72,967
94,5M,花蓮縣,green,103318,220769,12728,6932,260,3707,1830,0.891,0,2,30,11,82,5263
94,6M,花蓮縣,yellow,103699,221298,12964,7120,234,3810,1800,0.938,0,3,53,5,116,4610
94,7M,花蓮縣,yellow,104197,222014,13319,7342,200,3986,1792,0.932,2,2,60,23,157,3682
94,8M,花蓮縣,green,104352,222522,13391,7245,247,3975,1925,0.938,0,3,91,28,136,4175
94,9M,花蓮縣,yellow,104939,223505,12670,6389,314,3877,2090,0.917,1,2,40,9,118,5199
94,10M,金門縣,orange,0,0,15274,6696,1569,0,2313,1.071,1,4,43,11,157,2875
94,11M,金門縣,red,0,0,13043,5669,439,0,2270,0.945,0,3,63,9,158,2952
94,12M,金門縣,orange,0,0,13280,5966,313,0,2331,0.931,0,3,0,6,129,993
94,1M,金門縣,orange,0,0,13392,6848,342,4038,2164,0.938,0,7,18,6,79,277
94,2M,金門縣,yellow,0,0,14751,7743,374,4427,2207,1.144,1,5,6,19,100,108
94,3M,金門縣,orange,0,0,13139,6393,284,4204,2259,0.921,2,5,25,24,96,845
94,4M,金門縣,orange,0,0,13378,6435,300,4343,2300,0.969,0,3,20,12,106,2314
94,5M,金門縣,yellow,0,0,13765,6630,347,4517,2271,0.965,0,5,45,10,130,2357
94,6M,金門縣,yellow,0,0,13812,6672,338,4525,2277,1.001,1,6,24,9,111,1768
94,7M,金門縣,yellow,0,0,14275,6839,390,0,2263,1.001,0,3,53,18,177,2692
94,8M,金門縣,yellow,0,0,14307,6875,536,0,2329,1.003,1,7,101,12,170,2671
94,9M,金門縣,orange,0,0,13313,6008,379,0,2251,0.964,0,3,37,3,156,1910
94,10M,南投縣,orange,180839,316119,14565,6726,694,4810,2335,1.019,0,0,70,11,189,1609
94,11M,南投縣,orange,180923,316675,12708,5589,195,4645,2279,0.919,2,5,33,15,122,1529
94,12M,南投縣,orange,181260,316986,13001,5618,181,4903,2299,0.91,0,0,0,7,212,905
94,1M,南投縣,yellow,175905,308592,14149,6721,388,4728,2312,0.991,1,12,23,6,139,260
94,2M,南投縣,yellow,176145,309203,14379,6594,476,4911,2399,1.077,3,4,8,8,65,129
94,3M,南投縣,orange,176833,309764,12761,5604,324,4568,2265,0.894,6,2,8,16,103,2114
94,4M,南投縣,orange,177283,310276,12728,5517,412,4521,2279,0.921,1,9,19,2,126,3270
94,5M,南投縣,yellow,177890,310772,13400,6050,375,4656,2319,0.938,12,1,28,10,123,2983
94,6M,南投縣,yellow,178428,311571,13962,6613,272,4764,2313,1.01,1,3,35,5,150,2747
94,7M,南投縣,orange,179493,312494,14025,6574,309,4839,2303,0.981,8,5,62,1,176,2490
94,8M,南投縣,yellow,179719,313410,13533,6249,246,4737,2302,0.947,1,8,49,1,207,2446
94,9M,南投縣,orange,180469,315069,15159,7412,571,4886,2290,1.096,0,2,51,0,192,2030
94,10M,屏東縣,orange,247652,634610,13539,6465,256,4514,2303,0.947,0,2,81,2,202,1619
94,11M,屏東縣,orange,248285,635778,13326,5963,251,4791,2321,0.963,1,1,130,5,218,2029
94,12M,屏東縣,orange,248908,636487,13025,5655,242,4803,2324,0.91,1,8,65,15,207,1515
94,1M,屏東縣,orange,239354,616340,15065,7534,220,4995,2316,1.054,2,13,20,0,145,1707
94,2M,屏東縣,orange,239848,618133,12836,5764,162,4629,2281,0.995,1,9,15,3,97,2144
94,3M,屏東縣,orange,241107,620397,13244,6152,171,4608,2313,0.927,1,2,23,1,142,2213
94,4M,屏東縣,orange,241959,621800,12844,5813,144,4599,2288,0.929,4,2,52,5,133,1545
94,5M,屏東縣,yellow,242866,623625,13584,6372,129,4752,2330,0.951,0,0,61,21,218,1739
94,6M,屏東縣,yellow,244001,625541,14023,6607,150,4950,2316,1.014,1,7,99,17,180,2347
94,7M,屏東縣,yellow,245487,627613,14023,6549,219,4932,2323,0.98,1,3,109,16,245,2237
94,8M,屏東縣,yellow,246012,629586,13306,6278,199,4514,2315,0.931,0,1,103,18,228,1696
94,9M,屏東縣,orange,247302,632551,12746,5755,184,4508,2299,0.921,1,2,113,17,219,1985
94,10M,苗栗縣,yellow,184448,313894,14236,6018,376,5319,2523,0.997,2,3,165,12,237,1612
94,11M,苗栗縣,orange,185038,314223,13967,5607,379,5447,2535,1.011,0,1,246,8,184,1688
94,12M,苗栗縣,yellow,186059,314258,13862,5530,388,5379,2565,0.971,0,0,1,9,256,1826
94,1M,苗栗縣,yellow,179201,305926,13824,6273,273,4924,2353,0.966,0,7,83,1,150,2147
94,2M,苗栗縣,green,179612,306463,14680,6889,363,5122,2306,1.135,5,4,15,5,164,1819
94,3M,苗栗縣,yellow,180213,307262,13032,5757,217,4750,2308,0.91,0,5,37,5,216,2175
94,4M,苗栗縣,yellow,180886,307561,13215,5880,275,4788,2273,0.954,0,4,88,10,193,1696
94,5M,苗栗縣,green,181476,308190,13960,6252,256,5087,2365,0.976,0,2,80,12,282,1810
94,6M,苗栗縣,green,182330,309323,14222,6183,221,5393,2425,1.028,4,5,76,6,219,1967
94,7M,苗栗縣,yellow,183065,310271,14500,6359,226,5477,2438,1.015,4,3,70,5,335,1930
94,8M,苗栗縣,yellow,183317,311189,14430,6275,194,5481,2481,1.01,1,2,74,13,344,1644
94,9M,苗栗縣,orange,184079,313218,13900,5767,338,5299,2497,1.006,1,6,83,15,307,2245
94,10M,桃園市,yellow,595310,921703,13983,5464,363,5543,2612,0.982,3,3,118,14,248,1899
94,11M,桃園市,orange,597061,923903,13583,5192,350,5468,2574,0.986,0,2,187,12,207,1444
94,12M,桃園市,yellow,600886,926342,13469,5122,329,5460,2558,0.946,0,0,5,6,152,1429
94,1M,桃園市,yellow,575600,887787,14999,6406,395,5618,2580,1.051,1,12,41,3,134,52
94,2M,桃園市,green,577306,890189,13692,5458,322,5387,2525,1.062,0,7,2,5,130,1564
94,3M,桃園市,yellow,579526,893069,14890,5227,431,6670,2562,1.044,2,2,42,14,169,2281
94,4M,桃園市,yellow,581999,895393,13283,5100,311,5299,2573,0.963,1,7,47,11,230,1985
94,5M,桃園市,yellow,584676,898231,14392,5957,273,5570,2592,1.01,0,4,133,5,296,2470
94,6M,桃園市,yellow,586619,902303,14459,5965,239,5658,2598,1.049,1,5,79,1,234,1847
94,7M,桃園市,yellow,590747,906586,14802,6142,286,5786,2588,1.039,0,2,66,2,339,1973
94,8M,桃園市,yellow,591495,910875,14424,5888,290,5668,2579,1.013,0,4,61,6,331,1820
94,9M,桃園市,yellow,593756,917983,14197,5701,324,5573,2599,1.03,0,4,75,22,287,1698
94,10M,高雄市,orange,360596,906421,13372,5069,315,5401,2588,0.941,2,7,73,7,381,1715
94,11M,高雄市,red,361895,908912,13300,5118,270,5324,2588,0.967,0,7,42,6,331,1911
94,12M,高雄市,red,363001,910680,13229,5070,272,5287,2600,0.931,0,5,1,2,269,1578
94,1M,高雄市,orange,349633,879254,15993,6781,448,6120,2644,1.124,10,9,24,13,151,1922
94,2M,高雄市,orange,350370,881621,12829,4823,280,5220,2506,0.964,6,12,4,18,152,1706
94,3M,高雄市,orange,351413,884662,13491,5239,330,5382,2539,0.949,7,8,60,12,189,2468
94,4M,高雄市,orange,352769,886560,13843,5349,417,5508,2569,1.006,3,6,44,14,220,2150
94,5M,高雄市,yellow,354171,889340,13895,5444,328,5536,2587,0.978,1,7,102,16,183,2215
94,6M,高雄市,yellow,355763,892607,13986,5444,309,5624,2608,1.017,1,7,58,10,177,1495
94,7M,高雄市,yellow,357664,895995,13999,5363,310,5718,2609,0.985,2,7,76,2,336,1853
94,8M,高雄市,yellow,358117,898794,14365,5500,503,5739,2622,1.011,1,7,83,3,303,2246
94,9M,高雄市,orange,359642,903988,13285,4975,300,5450,2560,0.966,2,12,71,8,352,1805
94,10M,基隆市,yellow,88519,176396,13494,4877,304,5660,2653,0.949,1,7,85,3,216,3120
94,11M,基隆市,yellow,88732,176626,13187,4693,299,5581,2614,0.959,3,2,97,7,209,2771
94,12M,基隆市,yellow,88874,176375,13697,5075,308,5683,2631,0.964,0,0,8,8,196,1977
94,1M,基隆市,yellow,85643,171276,14184,5556,327,5693,2608,0.998,3,17,30,11,205,22
94,2M,基隆市,yellow,85831,171562,14393,5768,363,5652,2610,1.121,2,11,3,5,150,22
